Pond,AESCAN,AESCON,AESTUB,AESUMB,ANAJUN,ARICOR,DRONSPI,GOMFRA,GOMSPI,EPICYN,EPIPRI,CORSHU,DORLIB,EPICAN,CALELI,ERYSIM,LEUFRI,LEUINT,LEUPRO,LADJUL,LIBINC,LIBLUC,LIBPUL,LIBQUA,PLALYD,SYMCOS,SYMINT,SYMOBT,SYMSEM,SYMVIC,PERTEN,PACLON,abundance,speciescount,shannon,simpson,meanres,sdres,n
SWF-1127,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,9,0,5,0,0,2,0,2,0,0,29,8,1.84598738108839,0.810939357907253,0.0121654593407517,0.00609225061076029,7
SWF-1133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,1,0,2,0,0,15,5,1.33786067783643,0.684444444444444,0.00909876679010719,0.00324095407680929,5
SWF-1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,1,0,0,0.0174656800733881,0.010922541175202,15
SWF-1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,2,0,0,0,0,2,1,3,0,0,31,6,1.13109394185431,0.518210197710718,0.0237096051185658,0.012489071453341,26
SWF-1205,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,27,3,2,0,0,51,7,1.5041687814507,0.678200692041522,0.0224854764228009,0.0148899460130877,16
SWF-1206,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,1,0,0,21,17,9,0,0,59,8,1.63090577463025,0.756104567652973,0.0114229864890109,0.00625680135025976,8
SWF-1207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,4,0,0,12,4,1.12692879480068,0.625,0.0200077684130152,0.0198859286112294,26
SWF-1208,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0,0,0,14,7,18,0,0,52,9,1.73347090916938,0.774408284023669,0.0258475093188339,0.0207054765358689,23
SWF-1209,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,0,0,0,0,11,5,70,0,0,104,8,1.17867224517101,0.523483727810651,0.0266817651213685,0.0180027144861095,36
SWF-1215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,34,0,0,0,5,3,0,0,0,0,3,1,5,0,0,53,8,1.28005963632006,0.563189747241011,0.0169656779301923,0.01179909760155,41
SWF-1220,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0,4,1,4,3,1,0,0,0,2,0,6,0,0,37,10,1.89551668166949,0.794740686632579,0.0387424545055522,0.0142290592002999,71
SWF-1221,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,53,0,0,106,5,0.832999266851032,0.527233891064436,0.0413184111938131,0.0197084597502429,135
SWF-1227,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,4,1.07354284640852,0.5625,0.0136078420304237,0.0112806248469687,29
SWF-1228,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,1,1,0,3,19,2,8,0,9,17,1,2,0,0,102,12,1.91349922340745,0.80238369857747,0.0352088659390335,0.0206151070018326,99
SWF-1234,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,3,0,37,0,0,0,3,7,1,8,0,0,0,0,1,0,0,69,9,1.52268516821886,0.670867464818316,0.0569652608497904,0.0803518039950262,27
SWF-1235,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,7,9,0,8,0,0,1,0,0,0,0,60,8,1.64202202008884,0.753888888888889,0.0591126293581547,0.0783762758159411,28
SWF-1236,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,1,0,1,0,0,0,3,0,1,0,0,29,8,1.43134428025943,0.625445897740785,0.0201430241651439,0.0193379904900904,34
SWF-1253,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,10,0,0,17,5,1.20333204069947,0.602076124567474,0.0353631890016738,0.0388808433397265,35
SWF-1306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,6,0,0,7,1,1,0,0,21,9,1.81794042725317,0.784580498866213,0.0156162446858817,0.0203028529566819,24
SWF-1310,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,12,0,2,0,4,7,1,0,3,0,0,0,0,0,0,33,9,1.82820895923718,0.789715335169881,0.0309011217503002,0.0355915516186174,112
TIM-2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,4,6,2,1,3,0,0,0,0,0,0,39,8,1.60668874979275,0.712689020381328,0.035911155406786,0.0439239747609188,117
SWF-1311,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,4,0,1,0,0,0,0,4,0,0,31,6,1.29163612715952,0.618106139438085,0.0343526420944536,0.0335536482607454,102
SWF-1312,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,2,1,0,0,9,0,5,0,0,37,7,1.54760673974172,0.726077428780132,0.0439158413644034,0.0577439037439823,125
SWF-1314,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,1,0,0,0,0,2,0,9,0,2,26,7,1.62428964887884,0.757396449704142,0.0137709824188369,0.0154962767789702,29
SWF-1316,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0,0,4,8,1,6,0,0,29,9,1.95663256493768,0.832342449464923,0.0315085775009975,0.0213743502437187,36
SWF-1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,35,0,0,0,2,3,0,1,0,1,22,2,30,0,0,99,10,1.5453142185665,0.731353943475156,0.0225986836870753,0.0283414058258848,43
SWF-1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,6,3,0.867563228481461,0.5,0.0170571120923495,0.0208648664046717,36
SWF-1347,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,7,0,2,0,0,1,2,31,0,0,89,7,1.22191500615697,0.626436056053529,0.0128275164412213,0.0171264160206498,34
SWF-1352,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,2,0,7,0,2,0,7,12,2,20,0,4,0,0,0,0,4,70,11,2.12676324794255,0.849387755102041,0.0199549284209443,0.0283832741802545,12
SWF-1428,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,1,2,1,8,0,0,19,8,1.74949382539366,0.764542936288089,0.0116086489547068,0.00519196523044793,10
SWF-1439,1,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,3,0,0,0,0,3,1,1,0,0,19,9,1.95872714187713,0.825484764542936,0.0461266682500962,0.0190468891605216,46
SWF-1444,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,5,13,10,3,0,0,0,4,13,0,0,60,10,2.08658320042554,0.853333333333333,0.0103511949852258,0.00371158463029246,13
SWF-1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,1,6,3,0,0,0,12,0,27,0,0,73,7,1.54958715458481,0.743103771814599,0.0130982546564391,0.00630136983529231,5
SWF-1610,0,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,14,7,1.6681739719974,0.76530612244898,0.0341220459956644,0.0376716036829008,57
SWF-1616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,7,4,1.15374194270109,0.612244897959184,0.0120530149973886,0.00336822840400716,8
SWF-1621,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,2,0,4,0,0,0,0,1,4,0,0,0,11,0,0,0,0,29,8,1.75003076746814,0.780023781212842,0.0703014101360503,0.0566517434264593,146
SWF-1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,2,0.562335144618808,0.375,0.00809735191032647,0.00251878861869342,5
SWF-1802,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,13,0,2,0,0,0,1,0,0,0,0,0,6,0,0,26,7,1.45550087707502,0.680473372781065,0.0323166925404376,0.0430560693779871,106
SWF-1808,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,0,21,3,0,0,0,1,3,0,0,0,6,0,3,0,0,44,10,1.7556630468115,0.731404958677686,0.0274375248382935,0.0211659893956144,147
SWF-1809,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,18,1,0,0,0,1,3,1,0,0,15,0,8,0,0,52,9,1.67962850122399,0.762573964497042,0.026827618550496,0.0203325882268568,148
SWF-1914,0,0,0,0,1,1,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,2,8,0,0,0,0,2,0,1,2,0,24,11,2.08057079446137,0.829861111111111,0.00772330500452802,0.00176596547057456,50
NAT-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,8,0,9,0,0,100,4,0.627554867936757,0.313,0.0646630383292473,0.0232560790155776,150
NAT-2,3,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,259,3,0,0,5,4,0,0,0,6,0,1,0,0,290,11,0.571705641253186,0.200927467300832,0.0836045776895565,0.023111935272781,339
NAT-3,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,1,0,0,0,75,25,1,15,0,0,135,10,1.42527897728301,0.640219478737997,0.0994999190889552,0.0525113077896768,196
NAT-6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158,8,7,3,0,0,10,35,3,0,2,9,0,0,0,0,236,10,1.20381934330395,0.5240950876185,0.0730751895102088,0.0250558604706061,293
NAT-7,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,212,4,0,8,0,0,10,42,3,0,0,17,0,3,0,0,304,11,1.12545825287597,0.489201004155125,0.081792186843049,0.0237531975530112,336
NAT-9,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,83,5,0,2,0,0,10,12,1,0,16,26,0,2,0,0,165,11,1.63248135240539,0.700679522497704,0.0834174180737625,0.024017592746518,349
NAT-10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,171,7,2,10,0,0,12,21,1,0,18,5,0,0,0,0,251,11,1.24504834328973,0.51843621529817,0.0847775872429018,0.0240027707893107,352
NAT-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,1,1,0,0,0,10,3,5,0,5,2,0,3,0,0,169,9,0.792679337097179,0.31742586043906,0.063660246762625,0.0227899214901418,354
